trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-42.871599596494875,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.95}",35,0,-221.50008451912356,"{0: 18, 1: 7, 2: 5, 3: 2, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.9}",25,0,-125.56915599526761,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.85}",30,7,-84.4861306313248,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 2}",1
5,False,"{'a': 0.5, 'e': 0.8}",20,0,-135.4253155533303,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.75}",25,0,-120.11067751069059,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.7}",20,0,-133.75490762119148,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.6499999999999999}",35,0,-191.09960206003765,"{0: 23, 1: 0, 2: 8, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.6}",20,0,-247.78131544631705,"{0: 10, 1: 0, 2: 4, 3: 1, 4: 5}",0
10,False,"{'a': 0.5, 'e': 0.55}",20,0,-25.66939384657814,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.5}",20,8,-37.21828684848672,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.44999999999999996}",25,0,-144.0895826955964,"{0: 19, 1: 1, 2: 0, 3: 2, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.3999999999999999}",20,0,-103.3656908097538,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.35}",20,0,-70.90526740550055,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.29999999999999993}",20,0,-105.31511925128254,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.25}",30,11,-115.9358240514933,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.19999999999999996}",20,0,-30.32424266378365,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.1499999999999999}",25,0,-37.92615738279457,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.09999999999999998}",30,0,-17.803777284616814,"{0: 26, 1: 1, 2: 1, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.04999999999999993}",25,0,-15.621441072374786,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,8,20.56985278997886,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,0,-8.868967892107538,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",30,5,-46.213443948820824,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",20,0,-12.284804335718073,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,11,17.699379344087383,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,7,-19.631856931784583,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",25,0,-5.818606850363818,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",35,15,9.515790225753541,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,10,-22.058563743983182,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",30,19,-23.090029226184274,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
