trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.40080080053360012, 'e': 0.99}",25,0,-51.04458734434538,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
2,False,"{'a': 0.40160320427093676, 'e': 0.9801}",20,0,-106.3903138184881,"{0: 9, 1: 3, 2: 6, 3: 2, 4: 0}",0
3,False,"{'a': 0.40240721442162597, 'e': 0.970299}",20,0,-108.50202329610318,"{0: 8, 1: 3, 2: 8, 3: 1, 4: 0}",0
4,False,"{'a': 0.40321283420170939, 'e': 0.96059601}",20,0,-105.92569056892448,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
5,False,"{'a': 0.4040200668336672, 'e': 0.9509900498999999}",20,0,-150.01138814791398,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
6,False,"{'a': 0.40482891554643113, 'e': 0.941480149401}",25,0,-210.2283883549154,"{0: 11, 1: 2, 2: 7, 3: 3, 4: 2}",0
7,False,"{'a': 0.40563938357539692, 'e': 0.9320653479069899}",20,0,-23.657226576353345,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
8,False,"{'a': 0.40645147416243799, 'e': 0.9227446944279201}",20,0,-176.22501078131276,"{0: 8, 1: 6, 2: 2, 3: 1, 4: 3}",0
9,False,"{'a': 0.40726519055591748, 'e': 0.9135172474836408}",20,0,-73.75844000828737,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.40808053601070232, 'e': 0.9043820750088044}",25,0,-118.67617225743862,"{0: 15, 1: 0, 2: 8, 3: 1, 4: 1}",0
11,False,"{'a': 0.40889751378817529, 'e': 0.8953382542587164}",30,0,-176.41582889408417,"{0: 17, 1: 2, 2: 8, 3: 1, 4: 2}",0
12,False,"{'a': 0.40971612715624861, 'e': 0.8863848717161292}",20,0,-51.9890918028632,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.41053637938937682, 'e': 0.8775210229989678}",25,14,-33.92112101883084,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
14,False,"{'a': 0.41135827376857004, 'e': 0.8687458127689782}",25,0,-149.88596173195853,"{0: 14, 1: 0, 2: 9, 3: 0, 4: 2}",0
15,False,"{'a': 0.41218181358140682, 'e': 0.8600583546412884}",30,0,-167.59174288705185,"{0: 18, 1: 2, 2: 6, 3: 2, 4: 2}",0
16,False,"{'a': 0.41300700212204733, 'e': 0.8514577710948755}",30,20,7.128580015401432,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.41383384269124718, 'e': 0.8429431933839268}",20,0,-113.59791311265708,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
