trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-125.13003273329217,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-87.17838883029683,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-44.522024013815255,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-185.9340635102196,"{0: 16, 1: 3, 2: 7, 3: 2, 4: 2}",1
5,False,"{'a': 0.5, 'e': 1.0}",30,18,-122.5980780730489,"{0: 6, 1: 0, 2: 3, 3: 1, 4: 2}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-7.001673041113333,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-127.56480413145341,"{0: 16, 1: 6, 2: 6, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-154.8207399279105,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-56.398376798321664,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-168.85893980288876,"{0: 14, 1: 3, 2: 3, 3: 3, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,18,-72.12584820117218,"{0: 6, 1: 2, 2: 3, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 1.0}",30,16,-74.72002742637046,"{0: 7, 1: 3, 2: 3, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.89372613893153,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-173.28232755673835,"{0: 14, 1: 2, 2: 4, 3: 3, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-49.62317977918715,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-130.2775577483215,"{0: 18, 1: 5, 2: 4, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-193.1102649428533,"{0: 18, 1: 1, 2: 7, 3: 1, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-186.51407311483462,"{0: 12, 1: 4, 2: 6, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-41.58461698545171,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.37177979527603,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-112.79063775856336,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-114.96078078082488,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-151.238138275594,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-129.73244036085129,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-122.0634178164145,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-140.22652532942126,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-108.45371975540807,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",35,0,-59.11093296599535,"{0: 25, 1: 4, 2: 5, 3: 1, 4: 0}",1
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-168.85134337762724,"{0: 11, 1: 0, 2: 4, 3: 3, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-102.7503834936835,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
